class,support,accuracy,mean_top1_prob,median_top1_prob,mean_true_class_prob,median_true_class_prob,mean_margin,median_margin,mean_entropy,median_entropy
21,10,1.0,0.9998350143432617,0.9999301433563232,0.9998350143432617,0.9999301433563232,0.9997832179069519,0.9999107718467712,0.0019710834603756666,0.0009302787948399782
22,10,0.3,0.557128369808197,0.548973560333252,0.49473080039024353,0.4907258152961731,0.11464576423168182,0.09826260805130005,0.6853886246681213,0.6919434070587158
23,10,0.4,0.5543809533119202,0.5611274242401123,0.4978850781917572,0.4821333587169647,0.10911359637975693,0.12259067595005035,0.6897175908088684,0.6894725561141968
24,10,1.0,0.9999245405197144,0.9999293088912964,0.9999245405197144,0.9999293088912964,0.9999073147773743,0.999913215637207,0.000986580504104495,0.0009275937918573618
25,10,1.0,0.9998856782913208,0.999898374080658,0.9998856782913208,0.999898374080658,0.9998677968978882,0.999881386756897,0.0015115999849513173,0.001360057620331645
26,10,1.0,0.9998565912246704,0.9998723864555359,0.9998565912246704,0.9998723864555359,0.9998306035995483,0.9998500943183899,0.0018147813389077783,0.0016327300108969212
27,10,0.9,0.9650127291679382,0.9999348521232605,0.911949634552002,0.9999348521232605,0.9450147747993469,0.9999195337295532,0.10503704845905304,0.0008698830497451127
28,10,1.0,0.9248465299606323,0.9999239444732666,0.9248465299606323,0.9999239444732666,0.9001588821411133,0.9998981952667236,0.21070042252540588,0.0009589607361704111
29,10,1.0,0.9322572946548462,0.9216004610061646,0.9322572946548462,0.9216004610061646,0.8735004663467407,0.8539035320281982,0.281477153301239,0.3294413685798645
30,10,1.0,0.9993488192558289,0.9994131922721863,0.9993488192558289,0.9994131922721863,0.998884379863739,0.9990841150283813,0.005923443008214235,0.00580973457545042
31,10,1.0,0.9999496340751648,0.9999791979789734,0.9999496340751648,0.9999791979789734,0.9999402761459351,0.9999746680259705,0.0006813105428591371,0.0003065472701564431
32,10,1.0,0.9994842410087585,0.999706506729126,0.9994842410087585,0.999706506729126,0.9991753697395325,0.99957674741745,0.004997999407351017,0.0032644839957356453
