true_class,rank,soft_neighbor_class,mean_probability
43,2,79,1.6785834304755554e-05
43,3,65,1.5514557162532583e-05
43,4,35,1.3292553376231808e-05
43,5,6,1.0904183909588028e-05
44,1,9,2.103851511492394e-05
44,2,77,2.077178578474559e-05
44,3,52,1.6247769963229075e-05
44,4,60,1.4440983250096906e-05
44,5,8,9.792389391805045e-06
45,1,12,0.0009833319345489144
45,2,3,1.0345812370360363e-05
45,3,60,7.057945367705543e-06
45,4,36,6.903384928591549e-06
45,5,28,4.284472197468858e-06
46,1,12,0.00010115564509760588
46,2,0,2.506393320800271e-05
46,3,32,2.407148713245988e-05
46,4,82,7.920101779745892e-06
46,5,89,3.0466667340078857e-06
47,1,23,9.489404874329921e-06
47,2,21,8.824073120194953e-06
47,3,22,7.9084102253546e-06
47,4,91,6.6829916249844246e-06
47,5,17,5.3915609896648675e-06
48,1,55,5.5761978728696704e-05
48,2,50,2.728526851569768e-05
48,3,49,1.598228482180275e-05
48,4,94,1.518879162176745e-05
48,5,68,1.3697778740606736e-05
49,1,9,0.0001257228577742353
49,2,80,5.7351822761120275e-05
49,3,48,3.850908251479268e-05
49,4,22,2.0270375898689963e-05
49,5,78,1.7390630091540515e-05
50,1,48,2.357165067223832e-05
50,2,17,1.3918461263529025e-05
50,3,16,1.1730402547982521e-05
50,4,63,1.0426463632029481e-05
50,5,21,9.823719665291719e-06
51,1,10,3.07633017655462e-05
51,2,59,3.005827238666825e-05
51,3,80,2.5602679670555517e-05
51,4,32,2.3980172045412473e-05
51,5,6,1.9660657926579006e-05
52,1,9,1.43438201121171e-05
52,2,30,7.2494963205826934e-06
52,3,54,5.978718945698347e-06
52,4,44,5.491668616741663e-06
52,5,32,4.719199296232546e-06
53,1,15,1.4980597370595206e-05
53,2,91,8.40694883663673e-06
53,3,56,8.141729267663322e-06
53,4,66,5.209119535720674e-06
53,5,98,4.981976417184342e-06
54,1,58,2.159326322725974e-05
54,2,16,1.9978080672444776e-05
54,3,2,1.68892765941564e-05
54,4,90,1.2181202691863291e-05
54,5,50,1.0565807315288112e-05
55,1,48,1.8783481209538877e-05
55,2,72,9.111108738579787e-06
55,3,46,6.921099156897981e-06
55,4,95,4.8187566790147685e-06
55,5,56,3.7826534935447853e-06
56,1,98,0.0019858123268932104
56,2,53,6.389785266947001e-05
56,3,18,4.192698179394938e-05
56,4,15,2.6017467462224886e-05
56,5,28,1.658686414884869e-05
57,1,64,4.2652922275010496e-05
57,2,85,3.9421032852260396e-05
57,3,48,3.7346813769545406e-05
57,4,17,3.1745166779728606e-05
57,5,80,2.5359078790643252e-05
58,1,54,1.5881263607298024e-05
58,2,52,7.994947736733593e-06
58,3,25,7.1609706537856255e-06
58,4,15,4.726651241071522e-06
58,5,61,4.691024969361024e-06
59,1,51,1.0364875379309524e-05
59,2,61,1.0149310583074111e-05
59,3,2,8.438028089585714e-06
59,4,26,6.4906444094958715e-06
59,5,92,4.852610800298862e-06
60,1,12,0.010546019300818443
60,2,29,0.009975639171898365
60,3,80,0.0004609511233866215
60,4,51,0.00029529177118092775
60,5,32,0.00012066667841281742
61,1,5,6.180312630021945e-05
61,2,58,2.4077635316643864e-05
61,3,80,1.394000901200343e-05
61,4,59,1.380594494548859e-05
61,5,69,1.3535014659282751e-05
62,1,97,6.316130748018622e-05
62,2,67,2.7266296456218697e-05
62,3,30,1.58699658641126e-05
62,4,15,1.5799161701579578e-05
62,5,87,1.1136246939713601e-05
63,1,64,2.1641373677994125e-05
63,2,25,1.343999792879913e-05
63,3,42,1.1825552974187303e-05
63,4,50,1.0047539035440423e-05
63,5,48,8.70660187501926e-06
64,1,35,2.3907128706923686e-05
64,2,48,2.1054471289971843e-05
64,3,57,1.7863636458059773e-05
64,4,79,1.1943580830120482e-05
64,5,93,8.563134542782791e-06
65,1,42,5.389365105656907e-05
65,2,34,4.0052589611150324e-05
65,3,7,1.2329190212767571e-05
65,4,43,1.1431142411311157e-05
65,5,16,1.0072905752167571e-05
66,1,36,7.901072422100697e-06
66,2,86,5.0099861255148426e-06
66,3,19,4.946528406435391e-06
66,4,76,4.443553279998014e-06
66,5,38,4.339451152191032e-06
67,1,62,1.4439603546634316e-05
67,2,76,7.631683729414362e-06
67,3,72,6.713791663059965e-06
67,4,97,4.801610430149594e-06
67,5,95,4.778592483489774e-06
68,1,48,8.81854648469016e-05
68,2,77,5.311472341418266e-05
68,3,49,2.8891834517708048e-05
68,4,58,2.5826439014053904e-05
68,5,20,1.0307068805559538e-05
69,1,75,1.9311013602418825e-05
69,2,61,1.2697960301011335e-05
69,3,20,1.1896499927388504e-05
69,4,99,1.0804537851072382e-05
69,5,1,9.807758942770306e-06
70,1,93,1.7706390281091444e-05
70,2,74,1.5105123566172551e-05
70,3,92,1.5017816622275859e-05
70,4,72,1.3521082109946292e-05
70,5,20,6.667380603175843e-06
71,1,13,1.6035437511163764e-05
71,2,83,1.336764580628369e-05
71,3,31,1.323640208283905e-05
71,4,10,1.2211346984258853e-05
71,5,47,8.431406058662105e-06
72,1,32,1.965963383554481e-05
72,2,67,1.303299632127164e-05
72,3,95,3.3396870549040614e-06
72,4,82,2.8828007998527028e-06
72,5,25,2.2523522602568846e-06
73,1,14,1.1362508303136565e-05
73,2,62,1.0224669495073613e-05
73,3,11,9.112543921219185e-06
73,4,65,8.935881851357408e-06
73,5,31,6.9062725742696784e-06
74,1,32,3.691476013045758e-05
74,2,1,2.8302401915425435e-05
74,3,24,2.820634654199239e-05
74,4,8,2.250571378681343e-05
74,5,82,1.7669091903371736e-05
75,1,66,2.5401992388651706e-05
