class,support,embedding_spread_mean,embedding_spread_median,embedding_spread_p90,nearest_euclidean_class,nearest_euclidean_distance,nearest_cosine_class,nearest_cosine_distance,separability_euclidean
23,10,2.0290167331695557,2.1660304069519043,2.59215407371521,22,0.9082884886586379,22,0.0010157684131503197,0.44764958011942446
24,10,0.6486643552780151,0.4938243627548218,0.7977313637733454,29,20.284933430761885,74,0.4786043203169674,31.271848477118553
25,10,1.8244355916976929,1.4642024040222168,3.2398209810256957,58,19.043065885001806,58,0.46982888895566477,10.437784688952298
26,10,0.8913856744766235,0.6505575776100159,1.2501482009887692,5,19.52377454178511,5,0.48036313681732956,21.902724152761913
27,10,4.272693634033203,3.12095308303833,5.600086688995359,41,18.7464392169291,28,0.43370973779660194,4.387499039858242
28,10,4.689792633056641,3.126716136932373,8.298414564132688,27,19.640424769269497,1,0.42686612736217167,4.187908998541064
29,10,3.6844959259033203,2.29860782623291,9.139986610412597,60,15.880104212057956,60,0.3250508550992499,4.309980125209302
30,10,3.9393177032470703,3.7871737480163574,4.550367736816406,32,20.187903703462652,32,0.39329307016139303,5.124720884233918
31,10,1.886152982711792,1.6287720203399658,2.809501051902771,71,20.302944477155773,71,0.5015922893341573,10.764208769516394
32,10,4.47279167175293,4.444206714630127,5.1365855693817135,74,19.29969055801839,46,0.37005328341287336,4.314909339485212
33,10,2.296107292175293,2.2413289546966553,2.7557780504226685,20,19.591766595578456,3,0.46242927632156783,8.532600659535186
34,10,3.7318930625915527,3.0154507160186768,4.434422397613523,65,20.04653086054069,65,0.47388530729551326,5.371678803309466
35,10,1.059904932975769,0.9073171019554138,1.5049043059349057,64,19.973974202670245,64,0.5139583993048156,18.845062025130588
36,10,1.3911325931549072,0.9605300426483154,2.565356516838073,62,20.187325425104838,62,0.4784312373647982,14.511431566219448
37,10,1.6688764095306396,1.5410163402557373,2.3773186683654783,18,21.213930135699332,18,0.5269912971283512,12.711504587488063
38,10,0.695569634437561,0.5389953255653381,1.112395417690277,68,20.559257490021192,14,0.500131959149635,29.55743964678022
39,10,1.5283000469207764,1.597602128982544,1.953005564212799,69,20.109246031614063,69,0.5063802660112185,13.15791756476762
40,10,1.8070743083953857,1.6138129234313965,2.2618638753890985,18,19.09761848576043,18,0.44206712289475447,10.56825300267724
41,10,4.01202392578125,3.5355443954467773,7.362689685821533,27,18.7464392169291,27,0.43377439501202364,4.672564163056096
42,10,1.2802740335464478,1.175245761871338,1.8015936493873594,65,19.72605290442608,15,0.4965781301865422,15.407680221228535
43,10,1.3707268238067627,1.0711395740509033,2.256487965583801,65,18.97520703529983,65,0.4813351570629756,13.843171889350032
44,10,1.0834113359451294,1.0605419874191284,1.5223062992095946,60,19.696710628257172,60,0.4526707970799294,18.180270018196243
45,10,1.2166879177093506,0.7562031149864197,1.750131344795226,3,21.983224120405396,12,0.4248777775355076,18.06808779838387
46,10,1.0471575260162354,0.7546402812004089,1.415198254585265,32,21.142516332263792,12,0.34948343046417407,20.19038760357054
47,10,1.839087724685669,1.6307430267333984,2.5428154230117794,71,19.83420323721612,21,0.486198311194588,10.78480540704284
48,10,3.81817364692688,3.83526349067688,4.968707656860351,68,19.74494894231864,55,0.4584057679665201,5.171307218625504
49,10,1.1895688772201538,1.123263955116272,1.5577310919761658,9,19.098491901301575,9,0.46244349287168807,16.054969381791427
50,10,1.8879534006118774,1.666501522064209,2.5766196727752684,21,19.691861099243464,21,0.47602356982494776,10.430268614077772
51,10,1.0443661212921143,0.8513244390487671,1.4265611171722408,29,18.397830367899452,32,0.492257729004938,17.616265017422457
52,10,0.5522347092628479,0.5095711946487427,0.7448743164539336,58,20.579907608578814,30,0.46165159921861876,37.2665956401943
53,10,2.137648105621338,2.132333755493164,2.550107288360595,15,20.172766803420274,15,0.47100294854160696,9.436897845988907
54,10,1.3492326736450195,1.084545612335205,1.7586725592613213,58,19.655999652294042,58,0.46783977819906375,14.568280205661175
55,10,1.7642418146133423,1.461165428161621,3.241652989387512,48,19.810403492639477,48,0.4584057679665201,11.228848182005706
56,10,3.3790740966796875,2.8288161754608154,5.9689192295074465,98,18.460114341838203,98,0.38761580592016065,5.4630688211238985
57,10,0.8499399423599243,0.8741136789321899,1.0498658537864685,80,19.459495644177636,28,0.5042474374646504,22.89514196749812
58,10,1.7012112140655518,1.452986240386963,2.6887884616851805,25,19.043065885001806,54,0.46783977819906375,11.193828095861605
59,10,1.3599810600280762,0.9533892273902893,1.92906048297882,92,20.28228892029645,92,0.4932467836683717,14.91365542978792
60,10,4.140438079833984,2.6322529315948486,10.043366241455079,29,15.880104212057956,29,0.3250508550992499,3.8353681194755813
61,10,2.5131449699401855,2.180891752243042,3.376205539703369,80,19.341624502160126,58,0.508686635865167,7.696183361288732
62,10,3.05621075630188,2.2762930393218994,6.2153244495391835,15,19.593118087769284,15,0.462888997452788,6.41091850336841
63,10,1.983930230140686,1.786157250404358,2.9450528621673584,42,20.330476788665518,89,0.5235513528197926,10.247576492255893
64,10,2.886934280395508,2.942762851715088,3.6997488498687745,93,19.342973126002082,93,0.4923659235486211,6.700177852109647
65,10,2.9100184440612793,2.707693338394165,4.307345676422119,43,18.97520703529983,96,0.4682322832079904,6.520648373904344
66,10,1.2400145530700684,1.0265181064605713,2.2734537363052367,86,19.80285675427653,28,0.4816332305666001,15.969858341781531
67,10,1.2173718214035034,1.1780122518539429,1.6566183805465697,64,20.33712982376998,62,0.5136092776867813,16.70576685463557
68,10,3.3432774543762207,3.140998125076294,3.894292354583739,20,17.7117065865325,20,0.41724260314204376,5.297707662087261
69,10,0.9995297193527222,1.0225030183792114,1.1760695815086364,20,19.82268875415953,88,0.501247911200443,19.83201536718323
70,10,1.9096002578735352,1.3519963026046753,3.0469511985778803,93,18.613603513662593,93,0.47547624346466666,9.747382174314355
71,10,1.726036787033081,1.5265843868255615,2.442397117614746,10,19.204327557952336,83,0.4834279520982152,11.126256231747549
72,10,2.412388324737549,1.6980189085006714,5.09214825630188,70,20.313374536197852,32,0.4476285293993393,8.420441405679497
73,10,1.764343023300171,1.4554829597473145,2.5578710317611693,65,19.521722355033283,14,0.4668877392289903,11.064584435807875
74,10,3.052696943283081,3.1881861686706543,3.8190996170043943,32,19.29969055801839,32,0.3881069122061902,6.322177050848084
75,10,3.92559814453125,3.5728960037231445,4.940293025970458,69,20.29223244173059,69,0.5041851835271337,5.169207772833216
76,10,2.0110766887664795,1.805151104927063,2.7903085470199587,36,21.061040085357156,36,0.48343298099409593,10.472519622449218
77,10,1.3446848392486572,1.1809706687927246,1.8492796063423154,68,19.811643758302946,68,0.46966641736719783,14.733298970911804
78,10,1.3166654109954834,1.1009491682052612,2.298320007324219,80,18.849887381157775,80,0.5239265210720953,14.316383816072188
79,10,1.521242380142212,1.1929242610931396,2.318571639060974,43,20.020042907857444,43,0.5136744053358613,13.160324198952365
80,10,7.19277286529541,5.122527599334717,16.09819965362549,29,16.365188308255544,29,0.43085708572550074,2.275226621879908
81,10,1.0513256788253784,1.1264595985412598,1.4396837234497069,83,19.41798019167184,83,0.46889147378645335,18.469995152564994
